model,suite,mesh,batch_size,max_length,eval_loss_cce,eval_loss_default,final_loss_cce,final_loss_default,mean_step_time_sec_excl_first_cce,mean_step_time_sec_excl_first_default,valid_tokens_per_sec_excl_first_cce,valid_tokens_per_sec_excl_first_default,xla_train_step_gib_per_chip_cce,xla_train_step_gib_per_chip_default,xla_reduction_pct,step_time_multiplier_cce_vs_default,loss_delta_cce_minus_default
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,2048,,,2.3905534744262695,2.3550636768341064,3.942106835000231,0.1341005599997515,27.65018924201571,812.8228547308224,1.44,2.01,28.358208955223873,29.396647075952075,0.035489797592163086
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,4096,,,2.3905534744262695,2.370387077331543,7.79066235099981,0.1831393170004958,13.991108212514376,595.1753112615622,2.75,4.26,35.44600938967136,42.53954027238574,0.020166397094726562
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,256,,,2.448523759841919,2.4589152336120605,2.019276752999758,0.1164299719994232,215.9188924214056,3744.7402289348624,0.9092535972595216,1.02,10.857490464752784,17.34327268419992,-0.010391473770141602
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,512,,,2.4056570529937744,2.450372219085694,3.9391516730001968,0.1320954299999357,110.683729948364,3300.6440873860065,1.21,1.81,33.149171270718234,29.820499263313756,-0.04471516609191939
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,1024,,,2.4056570529937744,2.4475836753845215,7.780763341000238,0.1723920270005692,56.03563312387689,2529.119284609145,1.85,3.44,46.22093023255813,45.13412526308162,-0.04192662239074707
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,2048,,,2.4056570529937744,2.450108528137207,15.470119808000163,0.2532461439996041,28.18336285763789,1721.6451674805426,3.52,7.05,50.070921985815595,61.08728671511124,-0.04445147514343262
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,4096,,,2.4056570529937744,2.4551467895507812,30.88554504900003,0.4577738810003211,14.116636093301397,952.4352919551872,8.6,14.38,40.19471488178026,67.46899797233814,-0.049489736557006836
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,8,256,,,2.376312017440796,2.3846957683563232,3.93903795299957,0.1326734609992854,224.42027991297613,6662.975348210453,1.17,1.77,33.89830508474577,29.68972033540895,-0.008383750915527344
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,8,512,,,2.3582000732421875,2.3651490211486816,7.777877413998795,0.169920018999619,113.6556868855965,5202.447629210669,1.71,3.3,48.18181818181818,45.77375555740866,-0.006948947906494141
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,8,1024,,,2.3582000732421875,2.3660480976104736,15.461421415000586,0.2460412130003533,57.17456217462309,3592.8940083657067,2.94,6.51,54.83870967741935,62.84077869091949,-0.007848024368286133
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,8,2048,,,2.3582000732421875,2.3660480976104736,30.851406583000426,0.4209780999999566,28.653474765299578,2099.871703540139,6.29,13.85,54.584837545126355,73.28506300684906,-0.007848024368286133
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,8,4096,,,2.3582000732421875,,61.19576846000018,,14.445443242988526,,14.82,,,,
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,16,256,,,2.2792809009552,2.2963547706604004,7.778178212000057,0.1699314480010798,228.3311016530855,10451.273268669576,1.63,3.23,49.53560371517028,45.77244708672542,-0.017073869705200195
